correction_count,coverage_ratio,hallucination_suspected,issues,manifest_artifact_count,manifest_hash_mismatches,manifest_missing_artifacts,manifest_raw_hash_mismatches,package_ok,paragraph_count,paragraph_max_chars,paragraph_median_chars,paragraph_min_chars,path,quality_flags,quality_score,quality_state,repetition_detected,segment_bad_rows,segment_count,segment_count_reported,segment_empty_text,segment_overlaps,segment_total_duration,transcript_chars,transcript_segment_char_ratio,transcript_segment_token_jaccard,transcript_words,video_id,warnings
0,0.9623638795134688,False,,5,0,0,0,True,2,1509,951.0,393,scripts/ingestion/corpus/19EEFd2ueiI,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,26,26,0,0,151.12,1904,1.0,1.0,328,19EEFd2ueiI,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/1GLc7XE0Yvw,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,unavailable,False,0,0,0,0,0,0.0,,,,,1GLc7XE0Yvw,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/1J0HpmGWsZs,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,dead_lettered,False,0,0,0,0,0,0.0,,,,,1J0HpmGWsZs,
1,1.0,False,,5,0,0,0,True,2,380,235.5,91,scripts/ingestion/corpus/1KnFnmU6NWw,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,10,10,0,0,41.74,473,1.0,1.0,88,1KnFnmU6NWw,
5,0.9865546776442466,False,,5,0,0,0,True,4,2471,393.5,373,scripts/ingestion/corpus/1PlGMOAypCI,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,78,78,0,0,297.17,3637,1.0,1.0,681,1PlGMOAypCI,
2,1.0,False,,5,0,0,0,True,2,368,339.0,310,scripts/ingestion/corpus/1WgqAO8AmsY,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,11,11,0,0,46.48,680,1.0,1.0,116,1WgqAO8AmsY,
3,0.9536495790082781,False,,5,0,0,0,True,44,568,394.5,358,scripts/ingestion/corpus/1_-cZz8YRFw,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,459,459,0,0,1615.12,18056,1.0,1.0,3237,1_-cZz8YRFw,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/1cs5nliQUSQ,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,dead_lettered,False,0,0,0,0,0,0.0,,,,,1cs5nliQUSQ,
3,0.8842760768033214,False,,5,0,0,0,True,2,478,364.0,250,scripts/ingestion/corpus/1e0yk20hF7Y,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,16,16,0,0,51.12000000000001,730,1.0,1.0,123,1e0yk20hF7Y,
2,0.9958298582151793,False,,5,0,0,0,True,8,481,392.5,222,scripts/ingestion/corpus/1imcyoNUO-A,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,43,43,0,0,238.8,3078,1.0,1.0,557,1imcyoNUO-A,
2,1.0,False,,5,0,0,0,True,2,595,492.0,389,scripts/ingestion/corpus/1jLbPyOnpjo,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,14,14,0,0,63.21,986,1.0,1.0,182,1jLbPyOnpjo,
0,0.8371291266193059,False,,5,0,0,0,True,2,679,581.5,484,scripts/ingestion/corpus/1kS_mQaBLdg,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,16,16,0,0,80.12999999999997,1165,1.0,1.0,217,1kS_mQaBLdg,
2,0.9863032093460454,False,,5,0,0,0,True,11,527,418,182,scripts/ingestion/corpus/1nhXsnx5--Y,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,68,68,0,0,293.8,4509,1.0,1.0,830,1nhXsnx5--Y,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/1oHlA7FtsGM,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,unavailable,False,0,0,0,0,0,0.0,,,,,1oHlA7FtsGM,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/1p0EnoA2u6o,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,unavailable,False,0,0,0,0,0,0.0,,,,,1p0EnoA2u6o,
0,0.9703808895876654,False,,5,0,0,0,True,5,575,449,356,scripts/ingestion/corpus/1sMxPhQcvEA,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,23,23,0,0,191.32999999999998,2383,1.0,1.0,387,1sMxPhQcvEA,
1,0.8102292953617424,False,,5,0,0,0,True,2,1348,939.0,530,scripts/ingestion/corpus/1w-IStuMl3M,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,53,53,0,0,154.77000000000004,1880,1.0,1.0,348,1w-IStuMl3M,most_paragraphs_outside_300_500_chars
0,0.8237371189738416,False,,5,0,0,0,True,2,430,275.0,120,scripts/ingestion/corpus/207izZBbqVg,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,11,11,0,0,228.62,552,1.0,1.0,102,207izZBbqVg,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/21SEb5M9IRs,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,dead_lettered,False,0,0,0,0,0,0.0,,,,,21SEb5M9IRs,
0,0.9644371814326292,False,,5,0,0,0,True,7,640,546,49,scripts/ingestion/corpus/2DLb6hDIhmg,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,36,36,0,0,247.87000000000003,3246,1.0,1.0,587,2DLb6hDIhmg,most_paragraphs_outside_300_500_chars
1,0.9621237181607675,False,,5,0,0,0,True,2,466,354.5,243,scripts/ingestion/corpus/2JL1ZgMS7nY,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,7,7,0,0,58.17,711,1.0,1.0,118,2JL1ZgMS7nY,
0,1.0,False,,5,0,0,0,True,8,423,377.5,42,scripts/ingestion/corpus/2RES9QrbVMA,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,34,34,0,0,223.54,2761,1.0,1.0,479,2RES9QrbVMA,
0,1.0,False,,5,0,0,0,True,7,423,375,186,scripts/ingestion/corpus/2U2GS7IkE8c,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,35,35,0,0,199.07,2521,1.0,1.0,437,2U2GS7IkE8c,
0,0.9506362001199121,False,,5,0,0,0,True,1,1904,1904,1904,scripts/ingestion/corpus/2X0BCy1bRcU,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,21,21,0,0,142.70000000000002,1904,1.0,1.0,338,2X0BCy1bRcU,most_paragraphs_outside_300_500_chars
1,0.9909242172137348,False,,5,0,0,0,True,1,2036,2036,2036,scripts/ingestion/corpus/2seBB2oByZc,[],0.85,trusted_after_review,False,0,29,29,0,0,131.02,2036,1.0,1.0,368,2seBB2oByZc,most_paragraphs_outside_300_500_chars | correction_not_marked_reversal_tested
0,1.0,False,,5,0,0,0,True,8,422,378.0,116,scripts/ingestion/corpus/2z5qxSr4EaI,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,42,42,0,0,232.1,2791,1.0,1.0,472,2z5qxSr4EaI,
2,0.9965536340697889,False,,5,0,0,0,True,5,461,371,329,scripts/ingestion/corpus/36rdT1bFOk0,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,30,30,0,0,161.93,1977,1.0,1.0,337,36rdT1bFOk0,
0,0.803284605666847,False,,5,0,0,0,True,2,411,221.0,31,scripts/ingestion/corpus/38-NgBAet1c,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,6,6,0,0,44.50999999999999,444,1.0,1.0,80,38-NgBAet1c,
0,0.9433962264150942,False,,5,0,0,0,True,1,27,27,27,scripts/ingestion/corpus/3EqnSkAzfIg,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,1,1,0,0,3.0,27,1.0,1.0,4,3EqnSkAzfIg,most_paragraphs_outside_300_500_chars
0,0.9672990063233965,False,,5,0,0,0,True,3,552,533,408,scripts/ingestion/corpus/3HytZ8tSiYE,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,27,27,0,0,107.08,1497,1.0,1.0,279,3HytZ8tSiYE,most_paragraphs_outside_300_500_chars
1,0.9676252646436132,False,,5,0,0,0,True,4,518,443.0,249,scripts/ingestion/corpus/3ITFXvYIPqg,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,12,12,0,0,109.69,1659,1.0,1.0,302,3ITFXvYIPqg,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/3InKt2QjqQ8,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,dead_lettered,False,0,0,0,0,0,0.0,,,,,3InKt2QjqQ8,
3,0.9980412128809841,False,,5,0,0,0,True,7,516,437,355,scripts/ingestion/corpus/3OjpANs8PDw,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,48,48,0,0,254.76,3037,1.0,1.0,570,3OjpANs8PDw,
17,0.882122848484488,False,,5,0,0,0,True,27,2371,652,393,scripts/ingestion/corpus/3RyCldrCxL8,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,231,231,0,0,1481.6400000000006,20540,1.0,1.0,3623,3RyCldrCxL8,most_paragraphs_outside_300_500_chars
0,1.0,False,,5,0,0,0,True,3,402,402,370,scripts/ingestion/corpus/3WnNyhhB_4w,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,19,19,0,0,107.52,1178,1.0,1.0,217,3WnNyhhB_4w,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/3_SHb2rvvvI,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,unavailable,False,0,0,0,0,0,0.0,,,,,3_SHb2rvvvI,
0,0.9398333143052858,False,,5,0,0,0,True,4,608,417.5,404,scripts/ingestion/corpus/3qEON3iXjNM,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,32,32,0,0,164.64,1853,1.0,1.0,347,3qEON3iXjNM,
0,0.9996200607902737,False,,5,0,0,0,True,2,366,268.5,171,scripts/ingestion/corpus/3weAVHuSCxg,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,6,6,0,0,52.620000000000005,539,1.0,1.0,98,3weAVHuSCxg,
1,0.99933598937583,False,,5,0,0,0,True,4,400,386.5,96,scripts/ingestion/corpus/40tIgtC8yec,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,28,28,0,0,120.4,1275,1.0,1.0,217,40tIgtC8yec,
0,0.545320197044335,False,,5,0,0,0,True,1,106,106,106,scripts/ingestion/corpus/453IrXoe_Ug,"[""low_speech_interval_coverage_estimate=0.545""]",0.5,needs_review,False,0,1,1,0,0,11.07,106,1.0,1.0,18,453IrXoe_Ug,most_paragraphs_outside_300_500_chars
0,0.9989938995177106,False,,5,0,0,0,True,8,408,383.0,8,scripts/ingestion/corpus/46g5U6v3SGc,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,70,70,0,0,625.55,2753,1.0,1.0,504,46g5U6v3SGc,
0,0.8610676792494975,False,,5,0,0,0,True,2,463,272.5,82,scripts/ingestion/corpus/4Fjf6IQsjQs,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,5,5,0,0,38.550000000000004,547,1.0,1.0,92,4Fjf6IQsjQs,
1,0.9816532673675531,False,,5,0,0,0,True,2,367,324.0,281,scripts/ingestion/corpus/4HRL8IxADhg,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,10,10,0,0,95.24,650,1.0,1.0,132,4HRL8IxADhg,
3,0.8769907151202115,False,,5,0,0,0,True,6,777,433.0,352,scripts/ingestion/corpus/4LIZkNHlNaM,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,50,50,0,0,285.25,2997,1.0,1.0,561,4LIZkNHlNaM,
0,0.8660508083140878,False,,5,0,0,0,True,2,473,342.5,212,scripts/ingestion/corpus/4QL5Djtikmw,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,9,9,0,0,45.0,687,1.0,1.0,130,4QL5Djtikmw,
2,0.9601729106628242,False,,5,0,0,0,True,4,764,611.5,349,scripts/ingestion/corpus/4_Fqfew1PRk,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,25,25,0,0,166.59,2342,1.0,1.0,494,4_Fqfew1PRk,most_paragraphs_outside_300_500_chars
1,0.9955762967284041,False,,5,0,0,0,True,7,467,394,357,scripts/ingestion/corpus/4eV8OvVEm6A,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,35,35,0,0,204.8,2805,1.0,1.0,469,4eV8OvVEm6A,
1,0.9745473180731123,False,,5,0,0,0,True,2,398,290.5,183,scripts/ingestion/corpus/4rZDc-SaOB8,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,7,7,0,0,57.05,583,1.0,1.0,118,4rZDc-SaOB8,
9,0.9126364663069393,False,,5,0,0,0,True,7,572,453,368,scripts/ingestion/corpus/4ytgjpow498,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,41,41,0,0,363.63999999999993,3113,1.0,1.0,535,4ytgjpow498,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/53Jzhrf-IWk,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,dead_lettered,False,0,0,0,0,0,0.0,,,,,53Jzhrf-IWk,
2,1.0,False,,5,0,0,0,True,7,432,385,135,scripts/ingestion/corpus/5RcKCxfLEHM,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,37,37,0,0,152.93,2526,1.0,1.0,459,5RcKCxfLEHM,
1,0.9939004815409309,False,,5,0,0,0,True,5,487,446,372,scripts/ingestion/corpus/5TbaZA522Fs,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,27,27,0,0,185.76,2196,1.0,1.0,351,5TbaZA522Fs,
4,0.9997430824962106,False,,5,0,0,0,True,6,424,395.5,212,scripts/ingestion/corpus/5Tdb7hBwX88,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,63,63,0,0,389.13000000000005,2227,1.0,1.0,409,5Tdb7hBwX88,
0,0.9993321646214208,False,,5,0,0,0,True,6,418,368.0,72,scripts/ingestion/corpus/5YJ6vynFWFc,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,60,60,0,0,119.71000000000001,1998,1.0,1.0,400,5YJ6vynFWFc,
0,0.9105089377205966,False,,5,0,0,0,True,3,375,356,116,scripts/ingestion/corpus/5daxvIoDLVU,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,16,16,0,0,79.97,851,1.0,1.0,146,5daxvIoDLVU,
0,0.7291328353361481,False,,5,0,0,0,True,1,183,183,183,scripts/ingestion/corpus/5hNCT4duOgc,"[""low_speech_interval_coverage_estimate=0.729""]",0.5,needs_review,False,0,5,5,0,0,22.45,183,1.0,1.0,35,5hNCT4duOgc,most_paragraphs_outside_300_500_chars
0,1.0,False,,5,0,0,0,True,1,66,66,66,scripts/ingestion/corpus/5hOsWGYAHFg,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,1,1,0,0,2.74,66,1.0,1.0,22,5hOsWGYAHFg,most_paragraphs_outside_300_500_chars
1,0.9992466637968144,False,,5,0,0,0,True,5,487,437,400,scripts/ingestion/corpus/5ia1FNUN6fk,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,22,22,0,0,185.7,2190,1.0,1.0,351,5ia1FNUN6fk,
3,0.9845278935371723,False,,5,0,0,0,True,9,467,411,34,scripts/ingestion/corpus/5qA5ibrq9NU,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,62,62,0,0,855.22,3425,1.0,1.0,588,5qA5ibrq9NU,
0,0.9235401845460312,False,,5,0,0,0,True,11,414,369,28,scripts/ingestion/corpus/5xxp7L-Ktp8,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,84,84,0,0,262.2300000000001,3854,1.0,1.0,736,5xxp7L-Ktp8,
0,0.9758144946808511,False,,5,0,0,0,True,3,445,359,358,scripts/ingestion/corpus/6-GWHR9_iSU,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,15,15,0,0,117.41,1166,1.0,1.0,192,6-GWHR9_iSU,
0,0.8040171009115109,False,,5,0,0,0,True,2,436,419.5,403,scripts/ingestion/corpus/69IrsSXeBTg,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,18,18,0,0,498.37000000000006,841,1.0,1.0,141,69IrsSXeBTg,
0,0.9919323857087975,False,,5,0,0,0,True,1,238,238,238,scripts/ingestion/corpus/6EHw_0gYD5w,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,6,6,0,0,25.82,238,1.0,1.0,42,6EHw_0gYD5w,most_paragraphs_outside_300_500_chars
0,0.9095349429384944,False,,5,0,0,0,True,6,1580,535.0,264,scripts/ingestion/corpus/6SGdA1xnd4A,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,44,44,0,0,392.9100000000002,3984,1.0,1.0,724,6SGdA1xnd4A,most_paragraphs_outside_300_500_chars
4,0.8551195246649165,False,,5,0,0,0,True,1,2016,2016,2016,scripts/ingestion/corpus/6YexvWyPC6k,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,29,29,0,0,123.77000000000002,2016,1.0,1.0,398,6YexvWyPC6k,most_paragraphs_outside_300_500_chars
0,0.9992019154030328,False,,5,0,0,0,True,2,775,606.5,438,scripts/ingestion/corpus/6j6EGVpQkI8,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,16,16,0,0,137.72000000000003,1215,1.0,1.0,213,6j6EGVpQkI8,
0,0.9993753903810118,False,,5,0,0,0,True,1,376,376,376,scripts/ingestion/corpus/6rLvPzNyLRw,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,8,8,0,0,32.0,376,1.0,1.0,62,6rLvPzNyLRw,
0,0.9918313069908815,False,,5,0,0,0,True,2,433,240.5,48,scripts/ingestion/corpus/6yHWS32aNOs,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,13,13,0,0,52.21,483,1.0,1.0,82,6yHWS32aNOs,
0,0.8878499650706647,True,,5,0,0,0,True,5,448,426,218,scripts/ingestion/corpus/77dJnbTCwsA,"[""repetition_loop_detected: 'Do you choose a leader' (count=4)""]",0.45,needs_review,True,0,34,34,0,0,165.22,1938,1.0,1.0,358,77dJnbTCwsA,
0,0.997613763810342,False,,5,0,0,0,True,12,526,414.5,171,scripts/ingestion/corpus/7BLsD_meNzw,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,65,65,0,0,418.07,4929,1.0,1.0,942,7BLsD_meNzw,
0,1.0,False,,5,0,0,0,True,2,436,402.0,368,scripts/ingestion/corpus/7L2scLHOEC4,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,16,16,0,0,93.83,806,1.0,1.0,165,7L2scLHOEC4,
0,0.9892356310487853,False,,5,0,0,0,True,8,478,396.0,194,scripts/ingestion/corpus/7NVPsHdyw_Y,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,54,54,0,0,300.51,3044,1.0,1.0,558,7NVPsHdyw_Y,
5,0.8708695317905742,False,,5,0,0,0,True,11,1694,469,227,scripts/ingestion/corpus/7Pfat_DztMI,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,74,74,0,0,1132.74,6371,1.0,1.0,1104,7Pfat_DztMI,most_paragraphs_outside_300_500_chars
0,0.8722697056030392,False,,5,0,0,0,True,2,646,510.5,375,scripts/ingestion/corpus/7UuDjBiHrMA,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,29,29,0,0,73.48000000000002,1023,1.0,1.0,231,7UuDjBiHrMA,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/7b6tnI7VmB4,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,dead_lettered,False,0,0,0,0,0,0.0,,,,,7b6tnI7VmB4,
0,0.0,False,,5,0,0,0,True,,,,,scripts/ingestion/corpus/7i_LOcXlznQ,"[""dead_lettered"", ""quarantined_from_retrieval""]",0.0,unavailable,False,0,0,0,0,0,0.0,,,,,7i_LOcXlznQ,
0,1.0,False,,5,0,0,0,True,2,709,535.0,361,scripts/ingestion/corpus/7lggUuJtZXY,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,13,13,0,0,82.43,1072,1.0,1.0,189,7lggUuJtZXY,
0,0.8590886161089625,False,,5,0,0,0,True,2,1613,1267.0,921,scripts/ingestion/corpus/81fCD_f4exU,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,47,47,0,0,204.35999999999999,2536,1.0,1.0,477,81fCD_f4exU,most_paragraphs_outside_300_500_chars
4,0.89831307627829,True,,5,0,0,0,True,8,984,396.5,273,scripts/ingestion/corpus/88NOQTz5_yI,"[""repetition_loop_detected: 'aakening van die humo ontsiesnes' (count=5)""]",0.45,needs_review,True,0,90,90,0,0,342.94,3763,1.0,1.0,680,88NOQTz5_yI,
0,0.9769538570632629,False,,5,0,0,0,True,1,1926,1926,1926,scripts/ingestion/corpus/8CgS_ANm26Y,"[""single_source_requires_human_review""]",0.7,needs_review,False,0,26,26,0,0,192.88,1926,1.0,1.0,345,8CgS_ANm26Y,most_paragraphs_outside_300_500_chars
