time,start_s,end_s,listen,text,speaker
4:32,272.6,279.3,https://www.youtube.com/watch?v=UlOt31lBhLY&t=272s,in our minds we carry our past or the worries about the future or the anxieties and so much,
4:39,279.3,284.1,https://www.youtube.com/watch?v=UlOt31lBhLY&t=279s,here and we're not actually present to our lives which in this moment typically if you're,
4:44,284.1,289.8,https://www.youtube.com/watch?v=UlOt31lBhLY&t=284s,really here for it is quite beautiful and quite awesome if you're not listening to this thing,
4:49,289.8,295.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=289s,absolutely and Yasmine clearly represents that state yes in a beautiful state he's just going,
4:55,295.0,300.1,https://www.youtube.com/watch?v=UlOt31lBhLY&t=295s,to the woman sees what is needed does what is needed and then continues with life yes but,
5:00,300.1,305.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=300s,Nomi is very agitated within continues in the state of agitation and continues in that state,
5:05,305.0,310.4,https://www.youtube.com/watch?v=UlOt31lBhLY&t=305s,of agitation even after the event is over and he's not being present to life yes a beautiful,
5:10,310.4,315.8,https://www.youtube.com/watch?v=UlOt31lBhLY&t=310s,state is a state where you are being present a state in which there is no inner conflict,
5:16,316.5,321.6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=316s,it is not an emotional high but it is a state where you're feeling so connected to life,
5:22,322.5,328.7,https://www.youtube.com/watch?v=UlOt31lBhLY&t=322s,connected to people through life and what takes away this beautiful state is the suffering state,
5:29,329.5,333.4,https://www.youtube.com/watch?v=UlOt31lBhLY&t=329s,and how would you define that as a suffering state for any suffering state is any state in,
5:33,333.4,338.6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=333s,which you're experiencing an inner disturbance it could start off as irritation as frustration,
5:38,338.6,349.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=338s,as loneliness as sadness as anxiety as fear as insecurity and what is it that an individual,
5:49,349.0,354.9,https://www.youtube.com/watch?v=UlOt31lBhLY&t=349s,is nurturing or fueling at any point of time because there are only two states Krishnaji always is,
5:54,354.9,359.4,https://www.youtube.com/watch?v=UlOt31lBhLY&t=354s,yeah and there are only two states that we experience life from there's no third state,
6:00,360.0,365.8,https://www.youtube.com/watch?v=UlOt31lBhLY&t=360s,whether we are a Christian Muslim Hindu whether we're Chinese Indian Japanese or American,
6:05,365.8,369.5,https://www.youtube.com/watch?v=UlOt31lBhLY&t=365s,whether we're a three-year-old child or a hundred-year-old person man woman anyone in this,
6:09,369.5,374.3,https://www.youtube.com/watch?v=UlOt31lBhLY&t=369s,planet we are only experiencing life from these two states either a suffering state or a beautiful,
6:14,374.3,380.6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=374s,state you are either relating to your child from us from a space of love or from a space of,
6:20,380.6,385.1,https://www.youtube.com/watch?v=UlOt31lBhLY&t=380s,confusion and conflict not knowing how to how to take care of your child you're either going,
6:25,385.1,388.6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=385s,to work from a space of connection connected to the vision that you're doing or you're,
6:28,388.6,392.1,https://www.youtube.com/watch?v=UlOt31lBhLY&t=388s,just conflicted not knowing what you're going to do with your life how is this,
6:32,392.2,397.3,https://www.youtube.com/watch?v=UlOt31lBhLY&t=392s,they're going to be you're constantly in the state of worry not knowing how the day is going,
6:37,397.3,402.6,https://www.youtube.com/watch?v=UlOt31lBhLY&t=397s,to unfold so these are the only two states that you're constantly living from so the most important,
6:42,402.6,408.1,https://www.youtube.com/watch?v=UlOt31lBhLY&t=402s,question in life is what state do I want to live my life from what state do I want to be a parent,
6:48,408.1,412.8,https://www.youtube.com/watch?v=UlOt31lBhLY&t=408s,from what state do I want to be a husband or a wife from what state do I want to go to my,
6:52,412.8,417.3,https://www.youtube.com/watch?v=UlOt31lBhLY&t=412s,work from what state do I want to be a leader from that's the most important question and,
6:57,417.3,421.9,https://www.youtube.com/watch?v=UlOt31lBhLY&t=417s,if you can find the answer which is a beautiful state,
12:00,720.0,723.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=720s,not so wonderful for a beautiful state.,
12:03,723.0,724.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=723s,Yes.,
12:04,724.0,728.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=724s,"If there is suffering, and it's an insight from Krishnaji,",
12:08,728.0,732.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=728s,"if there is suffering, that means you are engrossed with yourself.",
12:12,732.0,736.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=732s,"If you are not engrossed with yourself, if you are connected,",
12:16,736.0,738.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=736s,then there is no suffering.,
12:18,738.0,740.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=738s,"So simple, yet so profound.",
12:20,740.0,741.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=740s,Yes.,
12:21,741.0,742.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=741s,Yes.,
12:22,742.0,743.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=742s,So incredibly profound.,
12:23,743.0,745.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=743s,"So, okay, someone's listening right now.",
12:25,745.0,748.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=745s,"They're like, all right, I'm going to start paying attention to my thoughts.",
12:28,748.0,750.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=748s,I'm going to start bringing awareness to notice.,
12:30,750.0,754.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=750s,"Right now, am I in a beautiful state or a suffering state?",
12:34,754.0,758.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=754s,"Paying attention, noticing if I'm self-obsessed, there's going to be suffering.",
12:38,758.0,760.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=758s,This is a really good start.,
12:40,760.0,766.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=760s,"I want to talk more deeply about how we can move into, let's say,",
12:46,766.0,768.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=766s,"that, okay, we did lose our job.",
12:48,768.0,772.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=768s,"And we do recognize, wow, I am being really self-obsessed right now.",
12:52,772.0,776.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=772s,How can we take this awareness of perhaps moving into a beautiful state,
12:56,776.0,779.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=776s,and then moving into taking the next right spiritual action?,
12:59,779.0,782.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=779s,Can you guys speak into that?,
13:02,782.0,787.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=782s,"See, when you bring awareness or attention to the thoughts that you are being self-obsessed,",
13:07,787.0,789.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=787s,you automatically move into a beautiful state.,
13:09,789.0,791.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=789s,There is no search for you.,
13:11,791.0,793.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=791s,"You're not searching to get into a beautiful state,",
13:13,793.0,797.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=793s,but beautiful state automatically happens because now you saw that inner truth.,
13:17,797.0,800.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=797s,The inner truth that you are obsessing about yourself.,
13:20,800.0,804.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=800s,"And when you see the truth, automatically beautiful state comes in.",
13:24,804.0,808.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=804s,"And in that beautiful state, you see problem very crystal clear.",
13:28,808.0,812.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=808s,"And then when you're able to see the problem very crystal clear,",
13:32,812.0,815.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=812s,there is a tremendous amount of intelligence that flows into you.,
13:35,815.0,817.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=815s,"There is strength, there is courage.",
13:37,817.0,821.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=817s,You get back your vision and you go back trying to solve that problem,
13:41,821.0,823.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=821s,and you find a solution.,
13:43,823.0,826.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=823s,It falls off like a house of cards.,
13:46,826.0,832.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=826s,"If you're able to see suffering and see that it is an engrossment with yourself,",
13:52,832.0,836.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=832s,"it is just an engagement with yourself, then it falls apart.",
13:56,836.0,839.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=836s,And then you dissolve the suffering.,
13:59,839.0,844.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=839s,"And when suffering dissolves, what happens within you is a place of calm, a joy, a connection.",
14:04,844.0,847.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=844s,And then you act from that place.,
14:07,847.0,850.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=847s,"A spiritual right action, as it is in the book,",
14:10,850.0,856.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=850s,is an action that emerges after you've dissolved your suffering state.,
14:16,856.0,860.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=856s,"It could be anxiety, it could be fear, it could be hurt, it could be loneliness.",
14:20,860.0,864.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=860s,"But when you act from these states, you do not have the right intelligence",
14:24,864.0,869.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=864s,that you need to solve that particular problem or challenge that you're facing.,
14:29,869.0,872.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=869s,So it is important to dissolve these states of suffering,
14:32,872.0,875.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=872s,in order to acquire the intelligence to solve the problem.,
14:35,875.0,879.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=875s,And then a spiritual right action is an action that emerges,
14:39,879.0,884.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=879s,after taking into consideration your well-being as well as the well-being of the other.,
14:44,884.0,886.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=884s,Because it emerges from a place of connection.,
14:46,886.0,887.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=886s,Yes.,
14:47,887.0,891.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=887s,And a spiritual right action is not an ideal driven action.,
14:51,891.0,893.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=891s,I loved this distinction in the book.,
14:53,893.0,896.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=893s,"I definitely want to go deeper on this because I think in our world,",
14:56,896.0,901.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=896s,there's so many kind of formulas and people are looking for a particular set way,
15:01,901.0,905.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=901s,to do something that's going to produce a positive result every time.,
15:05,905.0,907.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=905s,And that's just not realistic.,
15:07,907.0,910.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=907s,And the thing that I loved about the distinction I read in your book,
15:10,910.0,912.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=910s,was it's not ideal based.,
15:12,912.0,917.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=912s,It actually is present to the moment so you can be appropriate to what's here.,
15:17,917.0,922.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=917s,"Because ideals are old, ideals are mechanical, ideals are repetitive and habitual.",
15:22,922.0,928.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=922s,And what is needed from you as a wonderful person is that you feel so connected to people.,
15:28,928.0,931.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=928s,You feel so connected to life and act from that place.,
15:31,931.0,936.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=931s,"If it is driven by an ideal, you're performing that action not from a place of connection",
15:36,936.0,939.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=936s,"but because you want to feel right or you want to feel great,",
15:39,939.0,942.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=939s,"you want to feel on that you're an honest person, you're the wonderful person.",
15:42,942.0,944.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=942s,"It is again, obsessing about yourself.",
15:44,944.0,945.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=944s,Yes.,
15:45,945.0,947.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=945s,Do we want to go into the Confucius example?,
15:47,947.0,948.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=947s,Sure.,
15:48,948.0,949.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=948s,Because I think that that might help explain.,
15:49,949.0,951.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=949s,"Because I can hear people going like,",
15:51,951.0,953.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=951s,what are you guys talking about when you talk about ideals?,
15:53,953.0,955.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=953s,What exactly does that mean?,
15:55,955.0,959.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=955s,So there is this story in the time of Confucius and the horse gets stolen.,
15:59,959.0,963.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=959s,And so there's this young boy who comes to the court of the Confucius,
16:03,963.0,965.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=963s,"and says, I know who stole the horse.",
16:05,965.0,969.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=965s,And Confucius asks who it was.,
16:09,969.0,970.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=969s,"And then he says, my father.",
16:10,970.0,974.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=970s,So immediately the father was bought to the court and he was jailed.,
16:14,974.0,976.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=974s,But Confucius does not let go of the boy.,
16:16,976.0,980.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=976s,He continues to inquire to find out what was the problem.,
16:20,980.0,982.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=980s,"And he says, do you know why your father stole the horse?",
16:22,982.0,983.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=982s,"He says, yes, I know.",
16:23,983.0,987.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=983s,My father stole the horse because his family has been starving.,
16:27,987.0,990.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=987s,"My mom, my sister, my brother and myself,",
16:30,990.0,992.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=990s,we have been starving for so many days.,
16:32,992.0,995.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=992s,"And in order to feed us, he stole the horse.",
16:35,995.0,1000.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=995s,On listening to this Confucius jailed the boy and released the father.,
16:40,1000.0,1004.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1000s,"And I always share this with the field of abundance,",
16:44,1004.0,1006.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1004s,a four-day retreat I did across the world.,
16:46,1006.0,1011.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1006s,And people get very confused because the boy has done the right thing.,
16:51,1011.0,1012.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1011s,Why is the boy being jailed?,
16:52,1012.0,1017.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1012s,Because you're so used to feeling being honest is right.,
16:57,1017.0,1019.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1017s,I would say probably Confucius felt different.,
16:59,1019.0,1020.0,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1019s,Confucius.,
