item,listen,start_s,end_s,text,who_speaks (P/K/H/O/X),text_matches_audio (Y/N)
38,https://www.youtube.com/watch?v=YkIBYppBtro&t=631s,631.47,640.06,He had the choice of making either his emotional hurt important or the team with whom he had bonded over many years important.,,
39,https://www.youtube.com/watch?v=sMgbjxyrgqw&t=1546s,1546.9,1549.71,Some of you might be pursuing enlightenment itself.,,
40,https://www.youtube.com/watch?v=mmpmX3-qfc4&t=1073s,1073.27,1085.65,"You become part of the magical flow of life where synchronicity is unfold, which means the randomly moving universe will arrange itself in patterns to fulfill your heartfelt purpose.",,
41,https://www.youtube.com/watch?v=x-mTRlE0TC4&t=974s,974.19,977.3,"In no-suffering states, you have the beautiful states and the enlightened states.",,
42,https://www.youtube.com/watch?v=sMgbjxyrgqw&t=686s,686.25,689.55,You must be in a state of surrender.,,
43,https://www.youtube.com/watch?v=U23yKxWbIcI&t=1394s,1394.16,1397.95,There are four kinds of stress responses you give to uncertainty.,,
44,https://www.youtube.com/watch?v=UlOt31lBhLY&t=406s,406.51,408.39,What state do I want to be a parent from?,,
45,https://www.youtube.com/watch?v=YkIBYppBtro&t=838s,838.23,844.71,Imagine the effort it would take to practice honesty and generosity without actually being in a fearless state within.,,
46,https://www.youtube.com/watch?v=kMc_kat7YLE&t=420s,420.03,422.52,"If you perform good actions, you have good results.",,
47,https://www.youtube.com/watch?v=UlOt31lBhLY&t=212s,212.17,214.99,"And just as they're about to cross a river, they hear a woman crying.",,
48,https://www.youtube.com/watch?v=UlOt31lBhLY&t=310s,310.09,313.05,A Beautiful State is a state where you are being present.,,
49,https://www.youtube.com/watch?v=x-mTRlE0TC4&t=474s,474.2,479.87,It is about bringing these broken mirrors together and making it into one beautiful mirror.,,
50,https://www.youtube.com/watch?v=nCkbv_lvFfg&t=123s,123.75,129.57,"Every parent, every teacher and every leader must find answer for.",,
51,https://www.youtube.com/watch?v=U23yKxWbIcI&t=1435s,1435.97,1439.22,What is your inestate when confronted with challenges?,,
52,https://www.youtube.com/watch?v=sMgbjxyrgqw&t=673s,673.43,677.23,That is the power you will feel when you learn to flow with the divine.,,
53,https://www.youtube.com/watch?v=UlOt31lBhLY&t=651s,651.73,660.95,So if we can bring attention to the thought process then you will free yourself from suffering and you will start to connect to the problem and there'll be intelligence that flows.,,
54,https://www.youtube.com/watch?v=_GEMrEWCiXw&t=842s,842.42,847.9,It is addressing the entire humanities and every form of living beings problem.,,
55,https://www.youtube.com/watch?v=mmpmX3-qfc4&t=1178s,1178.2,1180.26,Our phones incessantly beep with messages.,,
56,https://www.youtube.com/watch?v=x-mTRlE0TC4&t=1516s,1516.89,1527.58,"For the first time, it was so heavily guarded that Sri Preethaji was telling me that when she was going to the restroom, there was an armed man with a gun walking guarding her.",,
57,https://www.youtube.com/watch?v=sMgbjxyrgqw&t=1038s,1038.1,1045.29,It is only when you come out of fear you realize that it was as unreal as your examination dream.,,
58,https://www.youtube.com/watch?v=UlOt31lBhLY&t=1540s,1540.29,1547.55,"Clearly sit down, think what you really want in your life at this point of time and ask for that.",,
59,https://www.youtube.com/watch?v=kMc_kat7YLE&t=884s,884.11,888.19,"You should have, I should have, the country should have, all of us must have.",,
60,https://www.youtube.com/watch?v=sMgbjxyrgqw&t=383s,383.69,387.14,"The faster he ran, the faster they began to chase him.",,
